2016-01-06 00:49:56,382 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/chengpoleness/Documents/code/musicianShare/java/musician_share_clapton/infrastructure/src/main/resources
2016-01-06 00:49:56,387 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-06 00:49:56,388 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/chengpoleness/Documents/code/musicianShare/java/musician_share_clapton/infrastructure/src/test/resources
2016-01-06 00:50:31,963 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is not out-of-date. No remote download required.
2016-01-06 00:51:46,446 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-06 00:51:46,486 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 11 resources
2016-01-06 00:51:46,507 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-06 00:51:46,508 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-01-06 00:55:46,688 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-06 00:55:46,691 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/chengpoleness/Documents/code/musicianShare/java/musician_share_clapton/musician-core/src/main/resources
2016-01-06 00:55:46,693 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-06 00:55:46,694 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/chengpoleness/Documents/code/musicianShare/java/musician_share_clapton/musician-core/src/test/resources
2016-01-06 00:55:46,810 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-06 00:55:46,816 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 11 resources
2016-01-06 00:55:46,818 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-06 00:55:46,819 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-01-06 00:56:08,929 [Worker-15] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2016-01-06 00:56:09,585 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: eric.clapton:infrastructure:1.0.0-SNAPSHOT @ /Users/chengpoleness/Documents/code/musicianShare/java/musician_share_clapton/infrastructure/pom.xml.
2016-01-06 00:56:09,974 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: eric.clapton:musician-app-server:0.0.1-SNAPSHOT @ /Users/chengpoleness/Documents/code/musicianShare/java/musician_share_clapton/musician-app-server/pom.xml.
2016-01-06 00:56:10,331 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: eric.clapton:musician-core:1.0.0-SNAPSHOT @ /Users/chengpoleness/Documents/code/musicianShare/java/musician_share_clapton/musician-core/pom.xml.
2016-01-06 00:56:10,389 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: eric.clapton:musician-repository:1.0.0-SNAPSHOT @ /Users/chengpoleness/Documents/code/musicianShare/java/musician_share_clapton/musician-repository/pom.xml.
2016-01-06 00:56:10,427 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: eric.clapton:musician-service:1.0.0-SNAPSHOT @ /Users/chengpoleness/Documents/code/musicianShare/java/musician_share_clapton/musician-service/pom.xml.
2016-01-06 00:56:10,951 [Worker-15] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /infrastructure/src/main/java
2016-01-06 00:56:10,951 [Worker-15] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /infrastructure/src/test/java
2016-01-06 00:56:11,004 [Worker-15] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /musician-app-server/src/main/java
2016-01-06 00:56:11,005 [Worker-15] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /musician-app-server/src/main/resources
2016-01-06 00:56:11,006 [Worker-15] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /musician-app-server/src/test/java
